단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30701907,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 47,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,0,1,1,0,0,0,0
30856072,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 70,0,1,3,2,1,3,2,4,1,4,3,2,0,1,2,0,0,2,0,0,0,0,0
30830939,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 71,0,0,0,4,1,1,1,2,0,1,1,4,2,2,0,3,0,0,0,0,0,0,0
1027,매입임대,대구도시공사,경동빌나동,다가구주택,대구광역시 남구 안지랑로11길 75,8,0,0,0,0,2,3,1,2,0,0,2,1,3,0,0,0,1,1,0,0,0,0
1028,매입임대,대구도시공사,경동빌가동,다가구주택,대구광역시 남구 안지랑로11길 77,8,0,0,0,1,2,4,1,0,0,0,2,3,1,3,1,0,1,1,0,0,0,0
30701908,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 82,0,0,0,2,2,1,3,0,0,1,2,6,0,2,2,1,0,0,0,0,0,0,0
1029,매입임대,대구도시공사,메르디앙,다가구주택,대구광역시 남구 안지랑로13길 26,11,0,0,1,2,5,1,0,1,2,1,2,2,4,1,1,1,0,0,0,0,0,0
30701909,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로13길 83,0,1,0,0,0,6,1,1,1,1,1,3,3,1,0,1,0,2,1,0,0,0,0
31172613,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로15길 20,0,0,0,1,2,4,5,2,0,0,1,6,4,3,1,0,0,0,0,0,0,0,0
30701910,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로15길 41,0,0,1,2,4,1,1,0,1,0,0,3,3,1,3,3,0,0,0,0,0,0,0
30701911,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로16길 36-11,0,0,0,2,1,0,1,2,1,1,1,0,1,3,4,1,4,1,0,0,0,0,0
30849054,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로16길 97,0,0,0,2,0,1,4,0,0,1,0,3,5,0,2,0,0,1,0,0,0,0,0
1030,매입임대,대구도시공사,로얄팰리스,다가구주택,대구광역시 남구 안지랑로18길 1-30,9,0,0,1,2,4,1,0,1,1,1,3,2,1,1,1,1,0,0,1,0,0,0
30701912,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로18길 13-1,0,0,0,0,0,1,3,0,1,0,1,2,2,1,2,1,0,0,0,0,0,0,0
1031,매입임대,대구도시공사,트윈하우스,다가구주택,대구광역시 남구 안지랑로18길 19,10,0,0,0,1,1,2,1,4,1,0,2,2,1,3,0,1,2,0,0,0,0,0
